id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
246040,26418,UT1O,11675,157,CON,8,44.0542,57.5257,90.2,,26,44.054,57.57,,270.2,
238544,26396,UUEE,11647,197,CON,06C,55.9698,37.3867,75,,24C,55.978,37.4417,622,255,
239251,4549,LTCC,11644,148,CON,16,37.9092,40.195,162.6,,34,37.8786,40.2071,2176,342.6,
232969,5834,SAWG,11644,148,CON,7,-51.6101,-69.3382,86,243,25,-51.6076,-69.2871,51,266,
238251,2627,EPPW,11565,197,CON,10R,52.3838,17.8274,107,,28L,52.3744,17.8768,381,287,
244155,3886,KSKF,11550,300,CON,15,29.3993,-98.5867,162.1,,33,29.3691,-98.5756,660,342.1,
238150,6217,SPIM,11506,148,CON,15,-12.0076,-77.1214,153,,33,-12.0361,-77.1073,113,333,2001
243968,3602,KIAD,11501,150,CON,01L,38.9391,-77.4598,0.6,,19R,38.9706,-77.4593,269,180.6,
243967,3602,KIAD,11500,150,CON,01R,38.9238,-77.4364,0.7,,19L,38.9553,-77.436,293,180.7,
245366,3633,KLBB,11500,150,CON,17R,33.6824,-101.829,179.7,,35L,33.6508,-101.829,3243,359.7,
242075,3778,KPIT,11500,200,CON,10R,40.4867,-80.2519,92,,28L,40.4856,-80.2106,1123,272,
237088,5288,ORBD,11490,197,CON,14,33.957,44.3555,145.7,,32,33.9309,44.3768,160,325.7,
237283,27203,ZKPY,11490,230,CON,17,39.2204,125.664,163,,35,39.1902,125.676,86,343,
240570,3772,KPHX,11489,150,CON,8,33.4409,-112.03,90.1,898,26,33.4408,-111.992,1135,270.1,
237097,5295,ORQW,11486,197,CON,15,35.7802,43.1131,152.5,,33,35.7522,43.131,746,332.5,
235686,4402,LKMT,11484,207,CON,4,49.6853,18.0932,46.1,,22,49.7071,18.1284,808,226.1,
237424,2764,EYSA,11483,148,CON,14L,55.9069,23.3794,146.1,,32R,55.8808,23.4106,437,326.1,
238927,4045,LEVT,11483,148,CON,4,42.8701,-2.73703,35.9,,22,42.8956,-2.71189,1682,215.9,
235877,4147,LFLX,11483,148,CON,3,46.8506,1.71917,33,,21,46.8769,1.74417,518,213,
238409,4475,LRCK,11483,148,CON,18,44.3777,28.4906,186,,36,44.3465,28.4863,315,6,
238402,4488,LRTR,11483,148,CON,11,45.8151,21.3168,110,,29,45.8045,21.359,343,290,
239276,4552,LTCF,11483,148,CON,6,40.5553,43.0964,64.4,,24,40.5689,43.1336,5869,244.4,
237647,4747,MMQT,11483,148,CON,9,20.6202,-100.202,100.8,,27,20.6143,-100.169,6296,280.8,
233038,5794,SANT,11483,148,CON,2,-26.8538,-65.1073,10,,20,-26.828,-65.1023,1493,190,
238116,6093,SGME,11483,131,CON,1,-22.0608,-60.621,357.8,,19,-22.0292,-60.6223,552,177.8,
233696,6193,SLVR,11483,148,CON,16,-17.6315,-63.1443,147,,34,-17.658,-63.1264,1224,327,
238584,6456,UHMA,11483,196,CON,1,64.7198,177.732,13.7,,19,64.7501,177.751,194,193.7,
238613,6462,UHWW,11483,197,CON,07L,43.3913,132.129,60.9,,25R,43.4066,132.167,33,240.9,
239624,6467,UKBB,11483,206,CON,18R,50.3522,30.8831,183,,36L,50.3208,30.8808,403,3,
239615,6479,UKKM,11483,184,CON,15,50.6177,30.1813,154.5,,33,50.5893,30.2026,506,334.5,
238570,26394,UUDD,11483,197,CON,14R,55.4212,37.8722,145.6,,32L,55.3954,37.9033,527,325.6,
238144,6239,SPTU,11482,148,CON,1,-12.6289,-69.2288,2.1,,19,-12.5973,-69.2276,656,182.1,
237106,5297,ORSU,11481,148,CON,13,35.5716,45.3005,132.9,,31,35.5501,45.3288,2440,312.9,
235660,3203,HHMS,11384,148,CON,7,15.666,39.3545,75,,25,15.674,39.3858,135,255,
238588,6458,UHMM,11326,195,CON,10,59.9119,150.69,93.2,,28,59.9101,150.751,574,273.2,
238339,4441,LPBJ,11319,197,CON,01L,38.0634,-7.93443,6.4,,19R,38.0944,-7.93037,624,186.4,
239762,20506,KMHR,11301,150,CON,04R,38.5447,-121.314,53.6,,22L,38.5631,-121.282,96,233.6,
244996,3593,KHST,11201,300,CON,5,25.4785,-80.3964,49.3,,23,25.4986,-80.3707,6,229.3,
242275,3610,KIND,11200,150,CON,05L,39.7064,-86.3208,44.5,,23R,39.7283,-86.2929,783,224.5,
239270,4515,LTAI,11155,148,CON,18L,36.9114,30.8114,186,,36R,36.8809,30.8072,158,6,
327466,316547,NLH,11155,164,CON,5,,,,,23,,,,,
237383,5220,OKBK,11155,148,CON,15R,29.2405,47.9615,155,,33L,29.2127,47.9763,170,335,
238186,5255,OPKC,11155,151,CON,07R,24.9004,67.1426,74.3,,25L,24.9087,67.175,89,254.3,
238599,6447,UEEE,11155,197,CON,05R,62.0819,129.757,36.9,,23L,62.1063,129.796,315,216.9,
238592,6460,UHPP,11155,197,CON,16L,53.1842,158.444,157.2,,34R,53.156,158.464,131,337.2,
238603,6461,UHSS,11155,148,CON,1,46.8704,142.717,0.7,,19,46.9008,142.718,49,180.7,2080
238545,6466,UIUU,11155,148,CON,8,51.8067,107.417,83,,26,51.813,107.465,1657,263,
330821,330820,ZBAD,11155,197,CON,01L,39.4713,116.431,353,,19R,39.5017,116.427,83,173,
235155,27191,ZBSJ,11155,148,CON,15,38.2936,114.687,147.4,,33,38.2678,114.708,220,327.4,
235199,27198,ZGSZ,11155,148,CON,15,22.653,113.803,155,,33,22.6256,113.818,13,335,
235171,27199,ZHCC,11155,197,CON,12,34.5255,113.824,112.3,,30,34.5138,113.858,486,292.3,
235165,27202,ZJSY,11155,148,CON,8,18.3008,109.396,82.2,,26,18.305,109.428,89,262.2,
235198,27224,ZSQD,11155,148,CON,17,36.281,120.37,166,,35,36.2512,120.379,33,346,
314967,27218,ZSHC,11154,197,CON,6,,,63,,24,,,23,243,
314962,27223,ZSPD,11154,197,CON,17R,31.1548,121.783,162,,35L,31.1257,121.794,12,342,
238554,6489,ULLI,11146,197,CON,10L,59.8097,30.2454,106.4,,28R,59.8011,30.3035,66,286.4,
237417,5222,OLBA,11138,148,CON,16,33.8401,35.4789,165.8,590,34,33.8105,35.4878,48,345.8,
237964,2569,ENBO,11136,148,CON,7,67.2653,14.3183,77.8,1969,25,67.2717,14.3952,39,257.8,
240801,3675,KMEM,11120,150,CON,18C,35.0546,-89.9762,179,,36C,35.0241,-89.9755,341,359,
240921,3632,KLAX,11096,200,CON,07R,33.9338,-118.419,83,,25L,33.9375,-118.383,95,263,
244319,3725,KNFL,11079,200,CON,13L,39.4306,-118.705,145.2,,31R,39.4056,-118.683,3927,325.2,
239330,5525,RCQS,11055,147,CON,4,22.7808,121.173,34.6,,22,22.8054,121.191,121,214.6,
238182,5257,OPLA,11024,151,CON,18L,31.5366,74.4048,181,,36R,31.5065,74.4043,707,1,
243532,3905,KSTL,11019,200,CON,12R,38.7539,-90.3792,122,467,30L,38.7378,-90.3465,583,302,201
245737,3709,KMSP,11006,150,CON,4,44.8723,-93.2383,45,1550,22,44.8936,-93.2083,827,225,988
245057,3853,KRNO,11002,150,CON,16R,39.5138,-119.769,180,999,34L,39.4836,-119.769,4410,360,990
243030,3926,KTPA,11002,150,CON,19R,27.9935,-82.5413,182,,01L,27.9633,-82.5424,11,2,
244446,3883,KSJC,11000,150,CON,12L,37.375,-121.94,139,1307,30R,37.3523,-121.915,55,319,2537
244445,3883,KSJC,11000,150,CON,12R,37.3737,-121.942,138.8,1302,30L,37.351,-121.917,57,318.8,2542
237224,5629,RJTY,11000,200,CON,18,35.7634,139.345,170.3,,36,35.7336,139.352,417,350.3,
240260,3908,KSUU,10992,150,CON,03R,38.2615,-121.926,47.7,,21L,38.2818,-121.898,55,227.7,
239328,5528,RCTP,10991,197,CON,05R,25.0608,121.223,49.3,347,23L,25.0833,121.252,95,229.3,1167
